CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_results,vuln_num_paths,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2022-26049,CWE-022,TRUE,TRUE,2,11,24,TRUE,TRUE,3,2,3,2,21,9,FALSE,FALSE,0,0,0,0,0.1818181818,0.8181818182,1,0.3076923077
CVE-2022-26884,CWE-022,FALSE,TRUE,1,7,16,TRUE,FALSE,2,1,0,0,15,7,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2022-31194,CWE-022,FALSE,TRUE,1,3,7,TRUE,TRUE,7,3,6,2,7,3,TRUE,TRUE,7,3,6,2,0.6666666667,0.3333333333,1,0.8
CVE-2022-31195,CWE-022,TRUE,TRUE,9,29,55,TRUE,TRUE,55,29,55,29,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-32287,CWE-022,FALSE,TRUE,6,4,4,TRUE,TRUE,0,4,0,2,4,4,TRUE,TRUE,0,4,0,2,0.5,0.5,1,0.6666666667
CVE-2022-34662,CWE-022,TRUE,TRUE,1,8,8,TRUE,TRUE,8,8,2,2,6,6,TRUE,FALSE,6,6,0,0,0.25,0.75,1,0.4
CVE-2022-36007,CWE-022,TRUE,TRUE,1,2,5,TRUE,TRUE,4,1,4,1,1,1,FALSE,FALSE,0,0,0,0,0.5,0.5,1,0.6666666667
CVE-2022-3782,CWE-022,TRUE,TRUE,2,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-4244,CWE-022,FALSE,TRUE,3,7,28,TRUE,TRUE,28,7,28,7,28,7,TRUE,TRUE,28,7,28,7,1,0,1,1
CVE-2023-34478,CWE-022,FALSE,TRUE,5,1,4,TRUE,TRUE,4,1,4,1,4,1,TRUE,TRUE,4,1,4,1,1,0,1,1
CVE-2023-35887,CWE-022,FALSE,TRUE,3,24,75,TRUE,TRUE,75,24,75,24,8,2,TRUE,TRUE,7,2,6,2,1,0,1,1
CVE-2023-37460,CWE-022,TRUE,TRUE,6,1,3,TRUE,TRUE,3,1,3,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2023-41044,CWE-022,TRUE,TRUE,1,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2023-45277,CWE-022,TRUE,TRUE,2,75,105,TRUE,TRUE,105,71,58,58,55,35,TRUE,FALSE,55,29,0,0,0.7733333333,0.2266666667,1,0.8721804511
CVE-2023-45278,CWE-022,TRUE,TRUE,1,11,30,TRUE,TRUE,26,10,24,9,7,3,TRUE,FALSE,3,2,0,0,0.8181818182,0.1818181818,1,0.9
CVE-2023-46749,CWE-022,TRUE,TRUE,7,3,3,TRUE,TRUE,0,3,0,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2024-23673,CWE-022,TRUE,TRUE,2,9,19,TRUE,TRUE,19,9,19,9,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-0851,CWE-022,TRUE,TRUE,9,8,8,TRUE,TRUE,8,8,8,8,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-46096,CWE-022,TRUE,TRUE,2,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-49656,CWE-022,TRUE,TRUE,3,12,33,TRUE,TRUE,8,2,8,2,25,10,FALSE,FALSE,0,0,0,0,0.1666666667,0.8333333333,1,0.2857142857
CVE-2025-53622,CWE-022,TRUE,TRUE,6,5,13,TRUE,TRUE,13,5,13,5,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-1584,CWE-023,TRUE,TRUE,4,3,6,TRUE,TRUE,6,3,6,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-24813,CWE-044,TRUE,TRUE,1,3,12,TRUE,TRUE,8,2,8,2,4,1,FALSE,FALSE,0,0,0,0,0.6666666667,0.3333333333,1,0.8
CVE-2013-7285,CWE-078,TRUE,TRUE,6,3,6,TRUE,TRUE,6,2,6,2,0,0,FALSE,FALSE,0,0,0,0,0.6666666667,0.3333333333,1,0.8
CVE-2017-1000487,CWE-078,TRUE,TRUE,7,2,8,TRUE,TRUE,8,2,8,2,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-10392,CWE-078,TRUE,TRUE,6,5,20,TRUE,TRUE,20,5,8,2,0,0,FALSE,FALSE,0,0,0,0,0.4,0.6,1,0.5714285714
CVE-2020-2261,CWE-078,FALSE,TRUE,9,1,4,TRUE,TRUE,4,1,1,1,8,2,TRUE,TRUE,8,2,8,2,1,0,1,1
CVE-2020-26217,CWE-078,FALSE,TRUE,10,10,36,TRUE,FALSE,8,2,0,0,78,28,TRUE,FALSE,8,2,0,0,0,1,0,0
CVE-2021-21345,CWE-078,FALSE,TRUE,3,4,4,FALSE,FALSE,0,0,0,0,4,4,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-20617,CWE-078,TRUE,TRUE,3,3,3,TRUE,TRUE,3,3,3,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-25173,CWE-078,TRUE,TRUE,6,9,10,TRUE,TRUE,10,9,10,9,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-25174,CWE-078,TRUE,TRUE,2,3,8,TRUE,TRUE,8,3,8,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2022-25175,CWE-078,FALSE,TRUE,10,5,8,TRUE,TRUE,8,4,8,4,1,1,TRUE,TRUE,0,1,0,1,0.8,0.2,1,0.8888888889
CVE-2023-24422,CWE-078,FALSE,TRUE,9,0,0,FALSE,FALSE,0,0,0,0,8,3,TRUE,TRUE,8,3,8,3,0,1,0,0
CVE-2025-26074,CWE-078,TRUE,TRUE,1,6,9,TRUE,TRUE,9,6,6,4,0,0,FALSE,FALSE,0,0,0,0,0.6666666667,0.3333333333,1,0.8
CVE-2014-3656,CWE-079,FALSE,TRUE,5,2,6,TRUE,TRUE,6,2,6,2,6,2,TRUE,TRUE,6,2,6,2,1,0,1,1
CVE-2016-10006,CWE-079,FALSE,TRUE,7,12,32,TRUE,TRUE,10,5,4,2,32,12,TRUE,TRUE,10,5,4,2,0.1666666667,0.8333333333,1,0.2857142857
CVE-2016-5394,CWE-079,TRUE,TRUE,8,1,2,TRUE,TRUE,2,1,2,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2016-6812,CWE-079,TRUE,TRUE,4,2,8,TRUE,TRUE,8,2,8,2,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2017-14735,CWE-079,FALSE,TRUE,6,1,1,TRUE,FALSE,0,1,0,0,1,1,TRUE,FALSE,0,1,0,0,0,1,0,0
CVE-2018-1000129,CWE-079,FALSE,TRUE,7,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10076,CWE-079,FALSE,TRUE,6,3,12,TRUE,TRUE,12,3,12,3,12,3,TRUE,TRUE,12,3,12,3,1,0,1,1
CVE-2019-10077,CWE-079,TRUE,TRUE,2,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-10078,CWE-079,TRUE,TRUE,7,1,4,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-10089,CWE-079,TRUE,TRUE,5,1,3,TRUE,TRUE,3,1,3,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2019-10219,CWE-079,FALSE,TRUE,2,1,1,TRUE,FALSE,1,1,0,0,1,1,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2019-17573,CWE-079,TRUE,TRUE,7,4,7,TRUE,TRUE,7,4,7,4,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2020-13973,CWE-079,FALSE,TRUE,10,2,8,TRUE,FALSE,8,2,0,0,8,2,TRUE,FALSE,8,2,0,0,0,1,0,0
CVE-2020-27219,CWE-079,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,1,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-29204,CWE-079,TRUE,TRUE,7,1,2,TRUE,TRUE,2,1,2,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
